#    FY4 Quest大全, Ver = 4.0.1
#
# 格式：
#  杀『搜索名称』【ID】简单说明 @物品文件路径
#  寻『搜索名称』〖中文名称〗【ID】简单说明 @物品文件路径
# 注："搜索名称"不含颜色码，"中文名称"含ANSI颜色码

杀『阿菜哥』【waiter】exp<1K,沉香:3s,e菜根香 @/d/chenxiang/npc/cx_waiter.c
杀『阿草』【a cao】exp=2M, @/d/shanliu/npc/tianzong1.c
杀『白骏马』【white horse】exp=5M, @/d/guanwai/npc/yema2.c
杀『白老鼠』【mouse】exp=10K, @/d/taiping/npc/mice.c
杀『白蚂蚁』【white ant】exp=200K, @/d/fugui/npc/whiteant.c
杀『白面郎中』【baimian langzhong】exp=2M, @/d/biancheng/npc/baimian.c
杀『白袍妇』【woman】exp=2K, @/d/palace/npc/whitewoman.c
杀『白袍公』【oldguy】exp=1M,杀神 @/d/resort/npc/b_guy.c
杀『白三空』【bai sankong】exp=3M, @/d/shenshui/npc/swordmaster.c
杀『白山君』【yunliang】exp=5M, @/d/eren2/npc/star_tiger.c
杀『白水娘娘』【master shenshui】exp=15M, @/d/shenshui/npc/master.c
杀『白无常』【wuchang】exp=10M, @/d/death/npc/white.c
杀『白衣大汉』【white cloth man】exp=9M, @/d/taiping/npc/whiteman.c
杀『白衣妇人』【white cloth woman】exp=9M, @/d/taiping/npc/whitewoman.c
杀『白衣人』【whitecloth man】exp=5M, @/d/huashan/npc/baiyun.c
杀『白衣少年』【baiyi shaonian】exp=5M, @/d/eren2/npc/baiyi.c
杀『白衣武士』【wu shi】exp=2M, @/d/bat/npc/wei-shi1.c
杀『白衣壮汉』【white man】exp=1M, @/d/biancheng/npc/vguard.c
杀『白姨』【bai yi】exp=50M, @/d/jinan/npc/baiyi.c
杀『白玉京』【bai yujing】exp=4M, @/d/chenxiang/npc/bai.c
杀『白玉魔』【master yumo】exp=2M, @/d/songshan/npc/yumo.c
杀『白荭』【bai hong】exp=500K, @/d/huangshan/npc/su.c
杀『百里长青』【baili】exp=2M, @/d/bawang/npc/baili_changqing.c
杀『百里灵』【zyc】exp=100K, @/d/taishan/npc/zyc.c
杀『百晓生』【bai xiaosheng】exp=1M, @/d/shaolin/npc/baixiaoshen.c
杀『班察巴那』【bancha bana】exp=1M, @/d/guanwai/npc/bancha.c
杀『蚌普寺的喇嘛』【bangpu lama】exp=1M, @/d/zangbei/npc/monk4.c
杀『包打听』【news man】exp=9K, @/d/fy/npc/newsman.c
杀『北风』【playing girl】exp=200K, @/d/palace/npc/playinggirl.c
杀『碧莲』【bilian】exp=250K, @/d/taiping/npc/lady2.c
杀『碧蛇神君』【bishe】exp=5M, @/d/eren2/npc/star_snake.c
杀『毕月鸟』【killer y】exp=1M, @/d/cave/npc/killer_y.c
杀『壁虎』【bihu】exp=1K, @/d/wanmei/npc/bihu.c
杀『壁水獐』【killer m】exp=1M, @/d/cave/npc/killer_m.c
杀『表哥』【biao ge】exp=300K, @/d/ghost/npc/biaoge.c
杀『宾奴』【catty】exp=10K, @/d/tieflag/npc/cat.c
杀『冰冰』【bingbing】, @/d/huangshan/npc/bing.c
杀『波斯奴』【bosi slave】exp=50K, @/d/quicksand/npc/poslave.c
杀『伯罗各答』【bo luo】exp=4M, @/d/songshan/npc/lama1.c
杀『捕快』【yayi】exp=4M, @/d/taiping/npc/yayi.c
杀『卜亚男』【girl】exp<1K, @/d/qianjin/npc/dachick.c
杀『卜鹰』【ying】exp=10M, @/d/guanwai/npc/ying.c
杀『卜战』【master bu】exp=2M, @/d/wolfmount/npc/buzhan.c
杀『不丹人』【bhutanese】exp=1K, @/d/guanwai/npc/bhutanese.c
杀『财叔』【cai shu】exp=600K, @/d/fugui/npc/cai.c
杀『采茶女』【girl】, @/d/huangshan/npc/tgirl.c
杀『采花盗』【tufei】exp=1M, @/d/sharen/npc/bandit4.c
杀『采花蜂』【caihua feng】exp=7M, @/d/biancheng/npc/caihua.c
杀『采花妞』【little girl】exp=1K, @/d/chuenyu/npc/flowergirl.c
杀『采菱女』【cailing】exp<1K, @/d/qianjin/npc/ouseller.c
杀『彩儿』【cai er】exp<1K, @/d/taoyuan/npc/caier.c
杀『菜花蛇』【snake】exp=10K, @/d/fugui/npc/snake.c
杀『参机大师』【master can】exp=1M, @/d/qianfo/npc/master2.c
杀『苍鹰』【hawk】exp=50M, @/d/huashan/npc/hawk.c
杀『藏马鸡』【crossoptilon】exp=300K, @/d/zangbei/npc/chicken.c
杀『藏翼子』【zang yizi】exp=4M, @/d/eren/npc/swordmant.c
杀『藏獒』【wolfdog】exp=1M, @/d/zangbei/npc/wolfdog.c
杀『茶博士』【waiter】exp<1K, @/d/fy/npc/teawaiter.c
杀『查猛』【meng】exp=3M, @/d/fy/npc/gmaster.c
杀『常老大』【boss chang】exp=260K, @/d/oldpine/npc/bandit_commander.c
杀『常胜将军』【master yue】exp=8M, @/d/death/npc/yuefei.c
杀『常无意』【chang wuyi】exp=1M, @/d/wolfmount/npc/wuyi.c
杀『常笑』【chang xiao】exp=9M, @/d/taiping/npc/changxiao.c
杀『长发少女』【beauty】exp=100K, @/d/loulan/npc/beauty1.c
杀『朝拜的和尚』【monk】exp<1K,兴国.名字随机 @/d/qianfo/npc/monk.c
杀『车马店老板』【horseman】exp=10K, @/d/fy/npc/horseman.c
杀『沉香哨兵』【shaobing】exp=5M, @/d/chenxiang/npc/sb.c
杀『沉香衙役』【yayi】exp=5M, @/d/chenxiang/npc/yayi.c
杀『沉香镇的地头蛇』【gangster】exp=1K, @/d/chenxiang/npc/ditou.c
杀『陈大倌』【chen daguan】exp=4M, @/d/biancheng/npc/bosschen.c
杀『陈准』【chen zhun】exp=430K, @/d/bawang/npc/chen_zhun.c
杀『城卫』【city guard】exp=20K, @/d/guanwai/npc/cityguard.c
杀『橙衣宫女』【orange lady】exp=4M, @/d/tieflag/npc/o_girl.c
杀『橙衣少女』【orange girl】exp=500K, @/d/tieflag/npc/orggirl.c
杀『程小小』【kid】exp=20K, @/d/taiping/npc/xiaotong.c
杀『持国天王』【tianwang】exp=200K, @/d/qianfo/npc/tianwang1.c
杀『持剑的青衣少女』【sword girl】exp=1M, @/d/tieflag/npc/qinggirl1.c
杀『赤练蛇』【chilian she】exp=1M, @/d/fugui/npc/chi.c
杀『赤裸少女』【naked girl】exp=500K, @/d/taiping/npc/longnu.c
杀『赤松』【chi song】exp=900K, @/d/quicksand/npc/redlama.c
杀『赤阳道长』【chi yang】exp=4M, @/d/huashan/npc/chiyang.c
杀『冲古寺的喇嘛』【chonggu lama】exp=1M, @/d/zangbei/npc/monk1.c
杀『仇二先生』【mr er】exp=600K,泰山.龙角山(五松亭2wu） @/d/taishan/npc/chou.c
杀『厨师』【cook】exp=1K, @/d/fy/npc/cook.c
杀『厨子』【cook】exp=10K, @/d/chuenyu/npc/cook.c
杀『楚楚』【chu chu】exp=900K, @/d/fy/npc/smilegirl.c
杀『楚留香』【master chu】exp=4M, @/d/bat/npc/chu.c
杀『穿开裆裤的小孩儿』【boy】exp<1K, @/d/chenxiang/npc/boy.c
杀『春兰』【chun lan】exp=5M, @/d/eren2/npc/girl1.c
杀『淳于怀太』【chunyu】exp=80K, @/d/chuenyu/npc/chuenyu.c
杀『催命符』【cuiming fu】exp=1M, @/d/fugui/npc/cui.c
杀『翠花』【cuihua】exp=500K, @/d/taiping/npc/girl1.c
杀『翠浓』【cuinong】exp=500K, @/d/biancheng/npc/cuinong.c
杀『达摩面壁像』【damo】exp=10M, @/d/songshan/npc/damo.c
杀『达娃』【dawa】exp=500K, @/d/zangbei/npc/dawa.c
杀『打更的』【guard】exp=1M, @/d/qianjin/npc/guard.c
杀『打水的妇人』【woman】exp=500K, @/d/eren/npc/waterwoman.c
杀『打杂的道士』【taoist】exp=70K,武当.灵应岩/琼台观 @/d/wudang/npc/taoist_1.c
杀『打杂的和尚』【monk】exp<1K,兴国.名字随机 @/d/qianfo/npc/monk.c
杀『大白鲨』【big white shark】exp=1M, @/d/shenshui/npc/shark.c
杀『大辫子姑娘』【younggirl】exp=1K, @/d/fy/npc/younggirl.c
杀『大厨』【cook】exp=1K, @/d/fy/npc/goldcook.c
杀『大肚子的小媳妇』【pregnant woman】exp=200K, @/d/biancheng/npc/pregnant_woman.c
杀『大法师』【da fashi】exp=800K, @/d/wolfmount/npc/fashi.c
杀『大汉』【man】 @/d/wudang/npc/dahan.c
杀『大猴子』【big monkey】, @/d/taoyuan/npc/monkey2.c
杀『大胡子』【butcher】exp=25K, @/d/fy/npc/butcher.c
杀『大胡子豪客』【haoke】exp=50K, @/d/qianjin/npc/haoke.c
杀『大金鹏王』【peng king】exp=1K, @/d/shanxi/npc/wang1.c
杀『大老板』【big boss】exp=10K, @/d/taishan/npc/dalao.c
杀『大老鼠』【rat】黑松.刑房/厨房 @/d/chuenyu/npc/highrat.c|rat.c
杀『大马猴』【monkey】exp=2M, @/d/huangshan/npc/monkey1.c
杀『大绵羊』【sheep】exp=25K, @/d/guanwai/npc/sheep2.c
杀『大漠商旅』【traveler】exp=1M, @/d/eren/npc/traveler.c
杀『大牛』【daniu】exp=100K, @/d/yingou/npc/daniu.c
杀『大胖子』【fatman】exp<1K, @/d/fy/npc/fatman.c
杀『大食堂跑堂』【waiter】exp=1M, @/d/cave/npc/cavewaiter.c
杀『大眼睛的小姑娘』【little girl】exp=4M, @/d/biancheng/npc/girl.c
杀『大雁』【yan】, @/d/qianjin/npc/dayan.c
杀『大章鱼』【octopus】exp=5M, @/d/shenshui/npc/octopus.c
杀『大喽罗』【da louluo】exp=560K, @/d/bawang/npc/big_bandit.c
杀『大蟑螂』【cockroach】exp=7K, @/d/fy/npc/cockroach.c
杀『戴寅』【dai】exp=250K, @/d/chenxiang/npc/gaibang3.c
杀『单峰雌驼』【female camel】exp=2M, @/d/eren/npc/camel2.c
杀『单峰雄驼』【male camel】exp=2M, @/d/eren/npc/camel.c
杀『单身趟子手』【tang】exp=50K, @/d/fy/npc/resting_biao.c
杀『当班差役』【chaiyi】exp=4M,济南、沉香都有 @/d/jinan/npc/yayi0.c
杀『道士』【taoist】exp=10K,三清、武当 @/d/taoguan/npc/reg_taoist.c
杀『登山的勇者』【mountain climber】exp=2M, @/d/huashan/npc/explorer2.c
杀『登山者』【climber】exp=1K, @/d/qianfo/npc/climber.c
杀『登徒子』【dtz】exp=1K, @/d/fy/npc/dtz.c
杀『邓定候』【deng dinghou】exp=4M, @/d/bawang/npc/deng.c
杀『笛客』【ke】exp=500M, @/d/fy/npc/mother3.c
杀『狄青麟』【di qinglin】exp=3M, @/d/libie/npc/diqinglin.c
杀『地单』【shaolin monk】exp=800K,少林和尚 @/d/shaolin/npc/monk8.c
杀『地渡』【shaolin monk】exp=800K,少林和尚 @/d/shaolin/npc/monk8.c
杀『地呵』【shaolin monk】exp=800K,少林和尚 @/d/shaolin/npc/monk8.c
杀『地回』【shaolin monk】exp=800K,少林和尚 @/d/shaolin/npc/monk8.c
杀『地兰』【shaolin monk】exp=800K,少林和尚 @/d/shaolin/npc/monk8.c
杀『地利老人』【master di】exp=1M, @/d/daimiao/npc/di.c
杀『地明』【shaolin monk】exp=800K,少林和尚 @/d/shaolin/npc/monk8.c
杀『地匹』【master di】exp=1M, @/d/shaolin/npc/master_19.c
杀『地普』【shaolin monk】exp=800K,少林和尚 @/d/shaolin/npc/monk8.c
杀『地青』【shaolin monk】exp=800K,少林和尚 @/d/shaolin/npc/monk8.c
杀『地容』【shaolin monk】exp=800K,少林和尚 @/d/shaolin/npc/monk8.c
杀『地西』【shaolin monk】exp=800K,少林和尚 @/d/shaolin/npc/monk8.c
杀『地影』【shaolin monk】exp=800K,少林和尚 @/d/shaolin/npc/monk8.c
杀『地云』【shaolin monk】exp=800K,少林和尚 @/d/shaolin/npc/monk8.c
杀『店小二』【waiter】exp<1K, 风云、老屋、武当都有@/d/fy/npc/waiter.c
杀『丁白云』【master ding】exp=10M, @/d/taoguan/npc/taolord2.c
杀『丁乘风』【master ding】exp=10M, @/d/taoguan/npc/taolord.c
杀『丁枫』【ding feng】exp=800K, @/d/bat/npc/dingfeng.c
杀『丁干』【ding gan】exp=3M, @/d/cave/npc/dinggan.c
杀『丁老四』【ding laosi】exp=4M, @/d/biancheng/npc/bossding.c
杀『丁灵甲』【ding lingjia】exp=4M, @/d/biancheng/npc/dinglingjia.c
杀『丁灵琳』【ding linglin】exp=4M, @/d/biancheng/npc/dinglinglin.c
杀『丁灵中』【ding lingzhong】exp=4M, @/d/biancheng/npc/dinglingzhong.c
杀『丁鹏』【ding peng】exp=3M, @/d/taishan/npc/ding.c
杀『丁求』【ding qiu】exp=6M, @/d/biancheng/npc/tuozi.c
杀『丁喜』【ding xi】exp=3M, @/d/bawang/npc/ding_xi.c
杀『丁云鹤』【ding yunhe】exp=4M, @/d/biancheng/npc/dingyunhe.c
杀『定邦大师』【master ding】exp=1M, @/d/qianfo/npc/master3.c
杀『东风』【playing girl】exp=200K, @/d/palace/npc/playinggirl.c
杀『东海白衣人』【white cloth man】exp=4M, @/d/bat/npc/baiyiren.c
杀『东三娘』【woman】exp<1K, @/d/bat/npc/woman.c
杀『东岳大帝』【master dadi】exp=10M, @/d/daimiao/npc/dadi.c
杀『冬梅』【dong mei】exp=5M, @/d/eren2/npc/girl4.c
杀『冬青』【pretty girl】exp=50K, @/d/palace/npc/girls.c
杀『斗木獬』【killer h】exp=1M, @/d/cave/npc/killer_h.c
杀『毒蛤蟆』【bad frog】exp=1M, @/d/shenshui/npc/frog.c
杀『毒蛇』【venomsnake】exp<1K, @/d/oldpine/npc/venomsnake.c
杀『独孤伤』【dugu shang】exp=1M, @/d/loulan/npc/qi.c
杀『独眼龙』【one eye】exp=5M, @/d/biancheng/npc/oneeye.c
杀『读千里』【duqianli】exp=50K, @/d/fy/npc/bookseller.c
杀『杜鹃』【pretty girl】exp=50K, @/d/palace/npc/girls.c
杀『杜老爹』【du laodie】exp=800K, @/d/eren/npc/du.c
杀『杜青莲』【du qinglian】exp=7M, @/d/zangbei/npc/du.c
杀『杜吟』【du yin】exp=50K, @/d/huangshan/npc/du.c
杀『端茶的青衣少女』【girl】exp=2M, @/d/tieflag/npc/qinggirl2.c
杀『断肠人』【duanchang ren】exp=20K, @/d/jinan/npc/sadguy.c
杀『断塔冤魂』【ghost】exp=2M, @/d/bawang/npc/ghost.c
杀『恶魔』【mo】exp=300K, @/d/qianjin/npc/prisoner.c
杀『恶魔亡魂』【ghost】, @/d/palace/npc/ghost.c
杀『恶人窟弟子』【dizi】exp=5M, @/d/cave2/npc/dizi.c
杀『发呆的小孩』【kid】exp=1K, @/d/eren/npc/boy1.c
杀『发子鬼母』【guimu】exp=9M, @/d/taiping/npc/ghost1.c
杀『发鬃零乱的少女』【girl】, @/d/huashan/npc/fang.c
杀『樊大』【mr fan】exp=7M, @/d/shanxi/npc/xiucai2.C
杀『樊夫人』【furen】exp=50K, @/d/fy/npc/wangfuren.c
杀『芳儿』【fang】exp=50K, @/d/fy/npc/makeupseller.c
杀『方老大』【south com】exp=10K, @/d/jinan/npc/south.c
杀『方灵玉』【lingyu】exp=5K, @/d/shenshui/npc/lingyu.c
杀『方龙香』【fang longxiang】exp=1M, @/d/chenxiang/npc/fang.c
杀『方心骑』【fang xinqi】exp=700K, @/d/loulan/npc/guard1.c
杀『方玉飞』【fang】exp=100K, @/d/yingou/npc/fangyufei.c
杀『方玉香』【xiang】exp=100K, @/d/yingou/npc/fangyuxiang.c
杀『房月狐』【killer q】exp=2M, @/d/cave/npc/killer_q.c
杀『飞豹子』【fei baozi】exp=50K, @/d/fugui/npc/baozi.c
杀『飞天蜘蛛』【feitian zhizhu】exp=4M, @/d/biancheng/npc/spider.c
杀『粉燕子』【fen yan zi】exp=50K, @/d/ghost/npc/fen.c
杀『风兵』【fengyun garrison】exp=1M, @/d/fy/npc/wind_soldier.c
杀『风道人』【taoist feng】exp=600K, @/d/taoguan/npc/feng.c
杀『风静』【fengjing】exp=1K, @/d/qianfo/npc/bonze3.c
杀『风九幽』【feng jiuyou】exp=400K, @/d/tieflag/npc/feng.c
杀『风凌』【fengling】exp=60K, @/d/qianfo/npc/bonze4.c
杀『风清』【fengqing】exp<1K, @/d/qianfo/npc/bonze1.c
杀『风骚雅人』【yaren】exp=500K, @/d/fy/npc/yaren.c
杀『风四娘』【feng siniang】exp=100K, @/d/huangshan/npc/feng.c
杀『风云大衙役』【yayi】组织=authority,exp=4M,济南(组织-官府) @/d/jinan/npc/yayi2.c
杀『风云小衙役』【yayi】组织=authority,exp=1M,济南官府 @/d/jinan/npc/yayi41.c
杀『风云衙役』【yayi】组织=authority,exp=2M,济南官府 @/d/jinan/npc/yayi3.c
杀『疯狗』【crazy dog】exp<1K,关外、新疆都有 @/d/guanwai/npc/crazy_dog.c
杀『疯乞丐』【lepra beggar】exp=200K, @/d/shanliu/npc/leprabeggar.c
杀『冯浩』【feng hao】exp=3M, @/d/zangbei/npc/fenghao.c
杀『凤栖梧』【feng qiwu】exp=1M, 麦老广的烧腊店 @/d/fugui/npc/feng.c
杀『拂尘的女子』【housework girl】exp=2M, @/d/shenshui/npc/needlegirl2.c
杀『傅红雪』【hongxue】exp=10M, @/d/xinjiang/npc/hong.c
杀『甘老头』【gan laotou】exp=9M, @/d/taiping/npc/ganlaotou.c
杀『高僵尸』【zombie】exp=5M, @/d/biancheng/npc/zombie3.c
杀『高老大』【gao laoda】exp=8M, @/d/zangbei/npc/gao.c
杀『高老头』【gao oldman】exp=100K, @/d/sharen/npc/guo.c
杀『高立』【gao li】exp=4M, @/d/cave/npc/gaoli.c
杀『高人』【gaoren】exp=5K, @/d/chenxiang/npc/pettrainer2.c
杀『高亚男』【gao yanan】exp=800K,华山 苍龙岭 @/d/huashan/npc/gao.c
杀『高原红蝶』【butterfly】exp=200M, @/d/zangbei/npc/butterfly2.c
杀『高原黄蝶』【butterfly】exp=200M, @/d/zangbei/npc/butterfly.c
杀『高原绿蝶』【butterfly】exp=200M, @/d/zangbei/npc/butterfly3.c
杀『哥舒战』【geshu zhan】exp=100K, @/d/wolfmount/npc/geshu.c
杀『葛伦』【master gelun】exp=3M, @/d/guanwai/npc/master.c
杀『供奉』【fighter】exp=5M, @/d/fy/npc/fightnpc4.c
杀『公孙不智』【buzhi】exp=20K, @/d/qingping/npc/gongsun.c
杀『公孙大娘』【gongsun daniang】exp=700K, @/d/shanliu/npc/gongsun.c
杀『公孙断』【gongsun duan】exp=4M, @/d/biancheng/npc/gongsun.c
杀『公冶长』【gongye chang】exp=10M, @/d/huashan/npc/gongye.c
杀『宫南燕』【gong nanyan】exp=5M, @/d/taoguan/npc/nangong_yan.c
杀『宫装美婢』【slave girl】exp=100K, @/d/loulan/npc/beauty2.c
杀『勾魂使者』【ghost】exp=50K, @/d/ghost/npc/ghost1.c
杀『狗郎君』【dog】exp=50K, @/d/ghost/npc/hdog.c
杀『孤独美』【gu du mei】, @/d/ghost/npc/gudumei.c
杀『孤魂』【ghost】exp=10K, @/d/xinjiang/npc/ghost.c
杀『孤魂野鬼』【ghost】, @/d/death/npc/ghost.c
杀『孤松先生』【song】exp=1M, @/d/fy/npc/song.c
杀『古丽娜』【eagle gulina】exp=6M, @/d/xinjiang/npc/police2.c
杀『谷慧儿』【gu huier】exp<1K, @/d/chenxiang/npc/poorghost.c
杀『顾青枫』【gu qingfeng】exp=7M, @/d/shanxi/npc/qingfeng.C
杀『怪兽』【heaven lion】exp=20K, @/d/palace/npc/redbeast.c
杀『关东大汉』【dahan】exp=5K, @/d/laowu/npc/trader.c
杀『关东豪客』【guandong haoke】exp=3M, @/d/laowu/npc/trader2.c
杀『关二爷』【master guan】exp=2M, @/d/death/npc/guan.c
杀『关玉门』【master yumen】exp=5M, @/d/guanwai/npc/master3.c
杀『广目天王』【tianwang】exp=800K, @/d/qianfo/npc/tianwang3.c
杀『归东景』【gui】exp=3M, @/d/bawang/npc/gui.c
杀『龟奴』【guinu】exp=100K, @/d/qianjin/npc/guinu.c
杀『鬼金羊』【killer a】exp=1M, @/d/cave/npc/killer_a.c
杀『鬼子』【guizi】exp=1M, @/d/taiping/npc/ghost2.c
杀『郭宝宝』【guo baobao】exp=4M, @/d/biancheng/npc/guobaobao.c
杀『郭大路』【guo】exp=4M, @/d/fugui/npc/guo.c
杀『郭大娘』【guo dama】exp<1K, @/d/taoyuan/npc/guo.c
杀『郭威』【guo wei】exp=4M, @/d/biancheng/npc/guowei.c
杀『郭易』【guo yi】exp=6M, @/d/biancheng/npc/guoyi.c
杀『郭嵩阳』【guo】exp=50K, @/d/fy/npc/xongyang.c
杀『过长逊』【guo changxun】exp=4M, @/d/wudang/npc/taoist7.c
杀『哈哈儿』【haha er】exp=4M, @/d/eren/npc/haha.c
杀『海龙王』【long wang】exp=4M, @/d/taiping/npc/longwang.c
杀『韩伶』【han ling】exp=1M, @/d/loulan/npc/jiu.c
杀『韩棠』【han tang】exp=8M, @/d/zangbei/npc/hantang.c
杀『韩掌柜』【han zhanggui】exp=10K, @/d/fugui/npc/zhanggui.c
杀『寒梅先生』【mei】exp=1M, @/d/fy/npc/mei.c
杀『寒水蛇』【hanshui snake】exp=5M, @/d/yinghe/npc/water_snake.c
杀『汉人』【hanren】exp=1K, @/d/guanwai/npc/hanren.c
杀『郝生意』【hao shengyi】exp=500K, @/d/wolfmount/npc/shengyi.c
杀『好心的伙计』【good waiter】exp<1K, @/d/biancheng/npc/gwaiter.C
杀『和尚』【shaolin monk】exp=500K,组织=shaolin,少林.白衣殿/殿角楼 @/d/shaolin/npc/monk_float.c
杀『何雅风』【he yafeng】exp=100K, @/d/fugui/npc/yafeng.c
杀『黑带』【master xman】exp=100M, @/d/fy/npc/xman.c
杀『黑狗』【black dog】exp=50K, @/d/ghost/npc/dog.c
杀『黑冠巨蟒』【serpent】exp=50K, @/d/oldpine/npc/serpent.c
杀『黑骏马』【black horse】exp=3M, @/d/guanwai/npc/yema.c
杀『黑面狼』【heimian wolf】exp=1M, @/d/wolfmount/npc/heimian.c
杀『黑面神君』【heimian】exp=5M, @/d/eren2/npc/star_pig.c
杀『黑袍公』【oldguy】exp=1M,杀精 @/d/resort/npc/w_guy.c
杀『黑鼠』【rat】, @/d/cave2/npc/rat.c
杀『黑无常』【wuchang】exp=10M, @/d/death/npc/black.c
杀『黑心狼』【heixin wolf】exp=1M,ls 太平客栈;ne;eu @/d/wolfmount/npc/heixin.c
杀『黑眼狼』【heiyan wolf】exp=1M, @/d/wolfmount/npc/heiyan.c
杀『黑衣蒙面人』【figure】exp=6K, @/d/qianfo/npc/spy.c
杀『黑衣人』【spy】exp=6K, @/d/oldpine/npc/spy.c
杀『黑珍珠』【black pearl】exp=120K, @/d/quicksand/npc/black_pearl.c
杀『黑蜘蛛』【spiderman】exp=1M, @/d/eren/npc/spider.c
杀『红鼻子老头』【old man】exp<1K, @/d/huashan/npc/seller2.c
杀『红教喇嘛』【red lama】exp=2M, @/d/guanwai/npc/biglama.c
杀『红骏马』【red horse】exp=3M, @/d/zangbei/npc/horse2.c
杀『红莲花』【hong lianhua】exp=4M, @/d/taishan/npc/honglianhua.c
杀『红蚂蚁』【red ant】exp=200K, @/d/fugui/npc/redant.c
杀『红娘子』【hong niangzi】exp=1M, @/d/fugui/npc/hong.c
杀『红裳少女』【redcloth girl】exp=300K, @/d/fycycle/npc/hongfunv.c
杀『红杏花』【xinghua】exp=500K, @/d/bawang/npc/xinghua.c
杀『红衣宫女』【red lady】exp=4M, @/d/tieflag/npc/r_girl.c
杀『红衣裳的小姑娘』【redgirl】exp=7M, @/d/taiping/npc/redgirl.c
杀『红衣少女』【red girl】exp=500K, @/d/tieflag/npc/redgirl.c
杀『红衣武士』【wu shi】exp=2M, @/d/bat/npc/wei-shi2.c
杀『红中』【playing girl】exp=200K, @/d/palace/npc/playinggirl.c
杀『红嘴乌鸦』【crow】exp=800K, @/d/huashan/npc/crow.c
杀『红嘴小麻雀』【maque】, @/d/qianfo/npc/maque.c
杀『胡不愁』【buchou】exp=350K, @/d/qingping/npc/hu.c
杀『胡大掌柜』【hu】exp=600K, @/d/guanwai/npc/hu.c
杀『胡金袖』【master hu】exp=3M, @/d/guanwai/npc/master4.c
杀『胡老头』【oldhu】exp<1K, @/d/chenxiang/npc/pawnowner.c
杀『胡老五』【hu laowu】exp=2M, @/d/bawang/npc/hu_5.c
杀『胡生』【husheng】exp=5K, @/d/baiyun/npc/husheng.c
杀『胡铁花』【hu tiehua】exp=5M, @/d/bat/npc/hu.c
杀『胡歪瓜』【hu waigua】exp=5M, @/d/biancheng/npc/huwaigua.c
杀『胡药师』【hu yaoshi】exp=5M, @/d/eren/npc/star_bunny.c
杀『胡英』【huying】exp<1K, @/d/fy/npc/cafen.c
杀『胡掌柜』【hu zhanggui】exp=4M, @/d/biancheng/npc/bosshu.c
杀『蝴蝶』【butterfly】, @/d/chuenyu/npc/fly.c
杀『狐狸精』【foxgirl】exp=50K, @/d/baiyun/npc/hockowner.c
杀『湖上草』【cao】exp=15K, @/d/qianjin/npc/cao.c
杀『湖上花』【hua】exp=15K, @/d/qianjin/npc/hua.c
杀『湖上酒』【jiu】exp=15K, @/d/qianjin/npc/jiu.c
杀『湖上柳』【liu】exp=120K, @/d/qianjin/npc/liu.c
